filename	acq_time	duration	stage	side	source_file
emg/sub-171_ses-04_task-emg2pose_run-01_recording-left_emg.bdf	n/a	63.7175	TwoHandedFreeStyle	left	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-1_left.hdf5
emg/sub-171_ses-04_task-emg2pose_run-02_recording-right_emg.bdf	n/a	63.7135	TwoHandedFreeStyle	right	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-1_right.hdf5
emg/sub-171_ses-04_task-emg2pose_run-03_recording-right_emg.bdf	n/a	45.089	unconstrained	right	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-2_right.hdf5
emg/sub-171_ses-04_task-emg2pose_run-04_recording-left_emg.bdf	n/a	45.089	IndexPinchesMiddlePinchesThumbswipes	left	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-2_left.hdf5
emg/sub-171_ses-04_task-emg2pose_run-05_recording-right_emg.bdf	n/a	44.6445	IndexPinchesMiddlePinchesThumbswipes	right	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-3_right.hdf5
emg/sub-171_ses-04_task-emg2pose_run-06_recording-left_emg.bdf	n/a	44.6405	unconstrained	left	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-3_left.hdf5
emg/sub-171_ses-04_task-emg2pose_run-07_recording-right_emg.bdf	n/a	45.669	unconstrained	right	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-4_right.hdf5
emg/sub-171_ses-04_task-emg2pose_run-08_recording-left_emg.bdf	n/a	45.677	DoorknobFingerGraspFistGrab	left	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-4_left.hdf5
emg/sub-171_ses-04_task-emg2pose_run-09_recording-right_emg.bdf	n/a	45.429	DoorknobFingerGraspFistGrab	right	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-5_right.hdf5
emg/sub-171_ses-04_task-emg2pose_run-10_recording-left_emg.bdf	n/a	45.425	unconstrained	left	2022-10-03-1664784000-c5ab6-cv-emg-pose-demonstration@2-recording-5_left.hdf5
