onset	duration	trial_type	side
0.0	47.737	unconstrained	left
2.917	0.0165	BAD_IK	left
2.967	0.35	BAD_IK	left
4.717	0.05	BAD_IK	left
5.167	0.0165	BAD_IK	left
5.3335	0.2335	BAD_IK	left
5.817	0.1165	BAD_IK	left
6.217	0.1165	BAD_IK	left
7.534	0.1	BAD_IK	left
7.7005	0.1165	BAD_IK	left
9.9005	0.0835	BAD_IK	left
12.301	0.1	BAD_IK	left
14.851	0.0165	BAD_IK	left
16.218	0.1165	BAD_IK	left
16.8345	0.0335	BAD_IK	left
17.351	0.2	BAD_IK	left
18.368	0.0335	BAD_IK	left
18.518	0.0835	BAD_IK	left
20.1845	0.15	BAD_IK	left
20.4515	0.4335	BAD_IK	left
24.4015	0.45	BAD_IK	left
31.719	0.033	BAD_IK	left
44.047	0.0335	BAD_IK	left
45.347	0.05	BAD_IK	left
46.7805	0.3335	BAD_IK	left
47.247	0.217	BAD_IK	left
