onset	duration	trial_type	side
0.0	44.9405	FastPongFronthandBackhandThrowing	right
0.0	0.15	BAD_IK	right
0.517	0.2165	BAD_IK	right
1.4	0.35	BAD_IK	right
3.2335	0.3	BAD_IK	right
4.467	0.0835	BAD_IK	right
4.6505	0.0165	BAD_IK	right
4.7005	0.0335	BAD_IK	right
6.934	0.3665	BAD_IK	right
7.484	0.2	BAD_IK	right
7.7175	0.1165	BAD_IK	right
10.134	0.217	BAD_IK	right
11.9345	0.483	BAD_IK	right
13.3845	0.233	BAD_IK	right
14.801	0.117	BAD_IK	right
16.168	0.0335	BAD_IK	right
17.468	0.45	BAD_IK	right
18.918	0.05	BAD_IK	right
20.285	0.283	BAD_IK	right
21.785	0.0335	BAD_IK	right
21.8515	0.05	BAD_IK	right
23.7685	0.0165	BAD_IK	right
23.8185	0.0165	BAD_IK	right
23.8685	0.0165	BAD_IK	right
26.0185	0.0335	BAD_IK	right
28.3855	0.0835	BAD_IK	right
30.7025	0.033	BAD_IK	right
33.153	0.083	BAD_IK	right
33.2695	0.1165	BAD_IK	right
35.586	0.017	BAD_IK	right
35.736	0.017	BAD_IK	right
38.204	0.0165	BAD_IK	right
40.404	0.0335	BAD_IK	right
40.504	0.0165	BAD_IK	right
42.6525	0.05	BAD_IK	right
