onset	duration	trial_type	side
0.0	58.5945	FingerWigglingSpreading	right
0.0	0.05	BAD_IK	right
0.167	0.1	BAD_IK	right
0.317	0.1	BAD_IK	right
0.5835	0.3165	BAD_IK	right
0.9835	0.4	BAD_IK	right
1.45	0.117	BAD_IK	right
1.6	0.117	BAD_IK	right
1.8	0.15	BAD_IK	right
3.3005	0.1165	BAD_IK	right
4.7005	0.3665	BAD_IK	right
5.284	0.25	BAD_IK	right
5.6505	0.1835	BAD_IK	right
6.034	0.0665	BAD_IK	right
20.618	0.0835	BAD_IK	right
31.269	0.0835	BAD_IK	right
37.0165	0.067	BAD_IK	right
38.2	0.5335	BAD_IK	right
39.4835	0.033	BAD_IK	right
40.6665	0.017	BAD_IK	right
41.8665	0.0335	BAD_IK	right
49.2	0.0835	BAD_IK	right
50.4335	0.0165	BAD_IK	right
51.6	0.5665	BAD_IK	right
52.8345	0.6335	BAD_IK	right
