onset	duration	trial_type	side
0.0	63.257	FingerFreeform	right
0.0	0.4165	BAD_IK	right
4.15	0.067	BAD_IK	right
4.7005	0.133	BAD_IK	right
5.2005	1.75	BAD_IK	right
15.951	0.35	BAD_IK	right
16.3345	0.0165	BAD_IK	right
18.4845	0.3835	BAD_IK	right
19.168	0.0165	BAD_IK	right
24.0015	0.15	BAD_IK	right
24.4185	0.1165	BAD_IK	right
24.8015	0.1	BAD_IK	right
24.935	0.0335	BAD_IK	right
25.085	0.15	BAD_IK	right
26.535	0.017	BAD_IK	right
30.652	0.0835	BAD_IK	right
32.4525	0.8115	BAD_IK	right
35.914	0.0335	BAD_IK	right
36.15	0.1	BAD_IK	right
44.765	0.067	BAD_IK	right
45.815	0.017	BAD_IK	right
46.082	0.0165	BAD_IK	right
46.282	0.2665	BAD_IK	right
47.615	0.117	BAD_IK	right
48.0985	0.15	BAD_IK	right
49.2985	0.0835	BAD_IK	right
51.432	0.1165	BAD_IK	right
51.9985	0.3	BAD_IK	right
52.432	0.033	BAD_IK	right
52.5485	0.1165	BAD_IK	right
54.565	0.2335	BAD_IK	right
60.165	0.017	BAD_IK	right
60.782	0.05	BAD_IK	right
