onset	duration	trial_type	side
0.0	58.889	IndividualFingerPointingSnap	left
0.0	0.05	BAD_IK	left
16.7345	0.0335	BAD_IK	left
16.8845	0.4335	BAD_IK	left
18.4845	0.8835	BAD_IK	left
19.9515	0.2	BAD_IK	left
33.849	0.05	BAD_IK	left
34.599	0.0165	BAD_IK	left
35.349	0.05	BAD_IK	left
37.115	0.067	BAD_IK	left
37.8985	0.0835	BAD_IK	left
39.382	0.083	BAD_IK	left
39.615	0.2335	BAD_IK	left
39.9985	0.0165	BAD_IK	left
40.2985	0.1165	BAD_IK	left
40.4485	0.4165	BAD_IK	left
41.4485	0.2835	BAD_IK	left
46.9665	0.283	BAD_IK	left
47.7495	0.3835	BAD_IK	left
48.8	0.5165	BAD_IK	left
50.2165	0.3	BAD_IK	left
50.55	0.05	BAD_IK	left
51.033	0.3835	BAD_IK	left
51.8165	0.8335	BAD_IK	left
52.783	0.85	BAD_IK	left
53.933	0.5835	BAD_IK	left
55.0665	0.0335	BAD_IK	left
55.3165	0.5835	BAD_IK	left
