filename	acq_time	duration	stage	side	source_file
emg/sub-69_ses-01_task-emg2pose_run-01_recording-left_emg.bdf	n/a	91.381	ThumbsUpDownThumbRotationsCWCCWP	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-1_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-02_recording-right_emg.bdf	n/a	91.385	ThumbsUpDownThumbRotationsCWCCWP	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-1_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-03_recording-right_emg.bdf	n/a	114.1795	CountingUpDownFaceSideAway	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-2_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-04_recording-left_emg.bdf	n/a	111.7115	CountingUpDownFaceSideAway	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-2_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-05_recording-right_emg.bdf	n/a	79.437	ThumbsSwipesWholeHand	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-3_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-06_recording-left_emg.bdf	n/a	79.433	ThumbsSwipesWholeHand	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-3_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-07_recording-right_emg.bdf	n/a	66.5125	FingerWigglingSpreading	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-4_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-08_recording-left_emg.bdf	n/a	66.5125	FingerWigglingSpreading	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-4_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-09_recording-right_emg.bdf	n/a	64.1165	FingerAbductionSeries	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-5_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-10_recording-left_emg.bdf	n/a	64.1085	FingerAbductionSeries	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-5_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-11_recording-right_emg.bdf	n/a	63.9315	WristFlexionAbduction	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-6_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-12_recording-left_emg.bdf	n/a	63.9195	WristFlexionAbduction	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-6_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-13_recording-right_emg.bdf	n/a	61.2405	FingerPinchesSingleFingerPinchesMultiple	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-7_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-14_recording-left_emg.bdf	n/a	61.2485	FingerPinchesSingleFingerPinchesMultiple	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-7_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-15_recording-right_emg.bdf	n/a	65.0075	FingerFreeform	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-8_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-16_recording-left_emg.bdf	n/a	64.9755	FingerFreeform	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-8_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-17_recording-left_emg.bdf	n/a	72.9805	IndividualFingerPointingSnap	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-9_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-18_recording-right_emg.bdf	n/a	72.8485	IndividualFingerPointingSnap	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-9_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-19_recording-right_emg.bdf	n/a	68.2925	HandClawGraspFlicks	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-10_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-20_recording-left_emg.bdf	n/a	68.2685	HandClawGraspFlicks	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-10_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-21_recording-right_emg.bdf	n/a	70.0805	ShakaVulcanPeace	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-11_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-22_recording-left_emg.bdf	n/a	70.0765	ShakaVulcanPeace	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-11_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-23_recording-left_emg.bdf	n/a	63.829	HookEmHornsOKScissors	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-12_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-24_recording-right_emg.bdf	n/a	63.901	HookEmHornsOKScissors	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-12_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-25_recording-right_emg.bdf	n/a	247.773	TwoHandedFreeStyle	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-13_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-26_recording-left_emg.bdf	n/a	247.993	TwoHandedFreeStyle	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-13_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-27_recording-left_emg.bdf	n/a	61.5075	OneHandedFreeStyle	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-14_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-28_recording-right_emg.bdf	n/a	61.5115	unconstrained	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-14_right.hdf5
emg/sub-69_ses-01_task-emg2pose_run-29_recording-left_emg.bdf	n/a	47.3285	unconstrained	left	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-15_left.hdf5
emg/sub-69_ses-01_task-emg2pose_run-30_recording-right_emg.bdf	n/a	47.3125	OneHandedFreeStyle	right	2022-07-13-1657699200-54a30-cv-emg-pose-train@2-recording-15_right.hdf5
