onset	duration	trial_type	side
0.0	62.539	TwoHandedFreeStyle	right
3.871	0.1665	BAD_IK	right
4.3875	0.217	BAD_IK	right
9.5545	0.117	BAD_IK	right
10.0215	0.033	BAD_IK	right
10.988	0.15	BAD_IK	right
13.005	0.183	BAD_IK	right
15.105	0.05	BAD_IK	right
16.805	0.15	BAD_IK	right
18.0885	0.0335	BAD_IK	right
19.572	0.05	BAD_IK	right
19.922	0.05	BAD_IK	right
20.0055	0.033	BAD_IK	right
20.6385	0.6335	BAD_IK	right
30.0895	0.15	BAD_IK	right
30.2895	0.2335	BAD_IK	right
30.673	0.15	BAD_IK	right
33.466	0.467	BAD_IK	right
40.6205	0.1165	BAD_IK	right
43.7205	0.133	BAD_IK	right
49.087	0.05	BAD_IK	right
56.3205	0.033	BAD_IK	right
62.387	0.0665	BAD_IK	right
