onset	duration	trial_type	side
0.0	240.217	TwoHandedFreeStyle	right
0.0	0.0335	BAD_IK	right
29.552	0.75	BAD_IK	right
31.802	0.1835	BAD_IK	right
33.9145	0.0335	BAD_IK	right
39.5805	0.15	BAD_IK	right
52.2805	0.2335	BAD_IK	right
52.964	0.0665	BAD_IK	right
58.165	0.6835	BAD_IK	right
61.897	0.5835	BAD_IK	right
64.482	0.2165	BAD_IK	right
66.0315	0.25	BAD_IK	right
69.832	0.3	BAD_IK	right
74.0485	0.55	BAD_IK	right
76.215	0.15	BAD_IK	right
88.915	0.15	BAD_IK	right
89.732	0.283	BAD_IK	right
97.982	0.0165	BAD_IK	right
108.165	0.617	BAD_IK	right
112.115	0.05	BAD_IK	right
119.865	0.167	BAD_IK	right
120.065	0.45	BAD_IK	right
126.915	0.017	BAD_IK	right
136.7815	0.017	BAD_IK	right
136.8485	0.033	BAD_IK	right
149.965	0.4665	BAD_IK	right
150.9985	0.0665	BAD_IK	right
206.3635	0.1165	BAD_IK	right
216.28	0.0335	BAD_IK	right
222.28	0.4335	BAD_IK	right
222.98	0.0165	BAD_IK	right
232.13	0.1835	BAD_IK	right
235.1635	0.0165	BAD_IK	right
235.2635	0.6165	BAD_IK	right
