onset	duration	trial_type	side
0.0	57.965	IndividualFingerPointingSnap	left
0.0	0.0335	BAD_IK	left
4.417	1.8835	BAD_IK	left
10.5175	0.1	BAD_IK	left
11.3005	0.05	BAD_IK	left
11.4005	0.867	BAD_IK	left
12.501	1.15	BAD_IK	left
13.8675	0.4835	BAD_IK	left
14.501	0.0165	BAD_IK	left
14.7175	0.017	BAD_IK	left
15.1845	0.083	BAD_IK	left
15.4175	0.2	BAD_IK	left
16.268	0.2665	BAD_IK	left
16.568	0.7665	BAD_IK	left
18.868	0.2665	BAD_IK	left
21.218	0.35	BAD_IK	left
22.435	0.283	BAD_IK	left
22.8515	0.417	BAD_IK	left
25.4685	0.05	BAD_IK	left
25.652	0.2665	BAD_IK	left
26.185	0.9	BAD_IK	left
27.335	0.1	BAD_IK	left
32.219	0.631	BAD_IK	left
33.383	0.4	BAD_IK	left
33.9	0.05	BAD_IK	left
42.351	0.067	BAD_IK	left
42.818	0.0165	BAD_IK	left
43.101	0.15	BAD_IK	left
43.3845	0.0165	BAD_IK	left
44.068	0.683	BAD_IK	left
45.118	1.3165	BAD_IK	left
46.5345	0.1	BAD_IK	left
47.1345	0.1	BAD_IK	left
50.4845	0.05	BAD_IK	left
52.1345	1.5	BAD_IK	left
53.9345	0.1665	BAD_IK	left
54.451	0.117	BAD_IK	left
55.051	0.2	BAD_IK	left
55.533	0.1335	BAD_IK	left
56.2	0.15	BAD_IK	left
57.4	0.033	BAD_IK	left
57.483	0.45	BAD_IK	left
