onset	duration	trial_type	side
0.0	45.3595	FastPongFronthandBackhandThrowing	left
0.0	0.2665	BAD_IK	left
1.0	0.633	BAD_IK	left
2.9165	1.1335	BAD_IK	left
4.5835	1.0335	BAD_IK	left
6.7335	0.617	BAD_IK	left
8.3005	0.9835	BAD_IK	left
10.9005	0.5	BAD_IK	left
12.384	0.7335	BAD_IK	left
15.484	0.0335	BAD_IK	left
17.4175	0.067	BAD_IK	left
17.5675	0.3335	BAD_IK	left
19.0845	0.1335	BAD_IK	left
19.8845	0.6335	BAD_IK	left
22.985	0.483	BAD_IK	left
23.535	0.0165	BAD_IK	left
24.5515	0.45	BAD_IK	left
25.035	0.033	BAD_IK	left
26.2515	0.3	BAD_IK	left
26.6515	0.017	BAD_IK	left
28.335	0.017	BAD_IK	left
29.8855	0.0165	BAD_IK	left
32.719	0.033	BAD_IK	left
32.7855	0.15	BAD_IK	left
34.418	0.0335	BAD_IK	left
34.4845	0.017	BAD_IK	left
35.6515	0.333	BAD_IK	left
37.2175	0.167	BAD_IK	left
37.484	0.017	BAD_IK	left
37.5345	0.0165	BAD_IK	left
38.5845	0.433	BAD_IK	left
41.8345	0.45	BAD_IK	left
43.483	0.0335	BAD_IK	left
44.6995	0.2	BAD_IK	left
