name	type	units	sampling_frequency	status	status_description
emg0	EMG	V	2000.0	good	n/a
emg1	EMG	V	2000.0	good	n/a
emg2	EMG	V	2000.0	good	n/a
emg3	EMG	V	2000.0	good	n/a
emg4	EMG	V	2000.0	good	n/a
emg5	EMG	V	2000.0	good	n/a
emg6	EMG	V	2000.0	good	n/a
emg7	EMG	V	2000.0	good	n/a
emg8	EMG	V	2000.0	good	n/a
emg9	EMG	V	2000.0	good	n/a
emg10	EMG	V	2000.0	good	n/a
emg11	EMG	V	2000.0	good	n/a
emg12	EMG	V	2000.0	good	n/a
emg13	EMG	V	2000.0	good	n/a
emg14	EMG	V	2000.0	good	n/a
emg15	EMG	V	2000.0	good	n/a
joint0	MISC	rad	2000.0	good	n/a
joint1	MISC	rad	2000.0	good	n/a
joint2	MISC	rad	2000.0	good	n/a
joint3	MISC	rad	2000.0	good	n/a
joint4	MISC	rad	2000.0	good	n/a
joint5	MISC	rad	2000.0	good	n/a
joint6	MISC	rad	2000.0	good	n/a
joint7	MISC	rad	2000.0	good	n/a
joint8	MISC	rad	2000.0	good	n/a
joint9	MISC	rad	2000.0	good	n/a
joint10	MISC	rad	2000.0	good	n/a
joint11	MISC	rad	2000.0	good	n/a
joint12	MISC	rad	2000.0	good	n/a
joint13	MISC	rad	2000.0	good	n/a
joint14	MISC	rad	2000.0	good	n/a
joint15	MISC	rad	2000.0	good	n/a
joint16	MISC	rad	2000.0	good	n/a
joint17	MISC	rad	2000.0	good	n/a
joint18	MISC	rad	2000.0	good	n/a
joint19	MISC	rad	2000.0	good	n/a
