onset	duration	trial_type	side
0.0	44.2325	PokeDrawPinchRotateclosefar	right
1.15	0.3335	BAD_IK	right
1.75	0.3835	BAD_IK	right
2.317	0.25	BAD_IK	right
2.617	0.0335	BAD_IK	right
3.8835	0.017	BAD_IK	right
4.767	0.0335	BAD_IK	right
5.134	0.0665	BAD_IK	right
5.417	0.0835	BAD_IK	right
6.984	0.0165	BAD_IK	right
7.7675	0.083	BAD_IK	right
8.234	0.3	BAD_IK	right
16.1845	0.0335	BAD_IK	right
20.7685	0.0165	BAD_IK	right
20.8185	0.0165	BAD_IK	right
21.2185	0.033	BAD_IK	right
22.435	0.05	BAD_IK	right
29.1855	0.6165	BAD_IK	right
30.0025	0.1665	BAD_IK	right
30.2025	0.7165	BAD_IK	right
31.0355	0.3835	BAD_IK	right
33.0515	0.2835	BAD_IK	right
35.918	0.35	BAD_IK	right
40.6345	0.167	BAD_IK	right
