onset	duration	trial_type	side
0.0	44.3965	FastPongFronthandBackhandThrowing	left
1.5835	0.7	BAD_IK	left
2.3505	0.0165	BAD_IK	left
3.417	0.4165	BAD_IK	left
3.867	0.0335	BAD_IK	left
4.0005	0.05	BAD_IK	left
6.334	0.033	BAD_IK	left
7.234	0.05	BAD_IK	left
12.401	0.2835	BAD_IK	left
13.3175	0.517	BAD_IK	left
13.901	0.0835	BAD_IK	left
14.8845	0.1165	BAD_IK	left
15.8345	0.3	BAD_IK	left
17.5345	0.6835	BAD_IK	left
19.7015	0.3335	BAD_IK	left
20.4015	0.5	BAD_IK	left
21.9685	0.233	BAD_IK	left
23.385	0.05	BAD_IK	left
24.8185	0.0165	BAD_IK	left
32.815	0.017	BAD_IK	left
34.432	0.333	BAD_IK	left
35.815	0.084	BAD_IK	left
36.45	0.0165	BAD_IK	left
37.5835	0.033	BAD_IK	left
39.1985	0.017	BAD_IK	left
39.2485	0.067	BAD_IK	left
42.2485	0.017	BAD_IK	left
