onset	duration	trial_type	side
0.0	64.5775	ThumbsUpDownThumbRotationsCWCCWP	left
0.0	1.6165	BAD_IK	left
12.084	0.3165	BAD_IK	left
12.8175	0.7	BAD_IK	left
14.201	0.383	BAD_IK	left
16.7675	0.0835	BAD_IK	left
17.551	0.5	BAD_IK	left
18.551	0.267	BAD_IK	left
20.8845	0.067	BAD_IK	left
25.7185	1.0665	BAD_IK	left
26.935	0.2665	BAD_IK	left
27.285	0.0665	BAD_IK	left
27.5015	0.0335	BAD_IK	left
28.3185	0.2165	BAD_IK	left
30.3185	0.367	BAD_IK	left
31.852	0.4835	BAD_IK	left
32.469	0.0165	BAD_IK	left
33.2105	0.4335	BAD_IK	left
39.6625	0.733	BAD_IK	left
40.6955	0.75	BAD_IK	left
42.4455	0.0335	BAD_IK	left
42.9455	0.4335	BAD_IK	left
43.429	0.0165	BAD_IK	left
44.429	0.3	BAD_IK	left
48.8625	0.133	BAD_IK	left
