onset	duration	trial_type	side
0.0	45.837	unconstrained	left
0.0	9.3675	BAD_IK	left
9.434	4.3	BAD_IK	left
14.2845	1.083	BAD_IK	left
15.4345	0.1665	BAD_IK	left
15.801	4.9005	BAD_IK	left
20.8015	2.617	BAD_IK	left
23.535	0.8165	BAD_IK	left
24.385	1.7335	BAD_IK	left
26.152	0.8	BAD_IK	left
27.052	1.7165	BAD_IK	left
28.8355	0.0165	BAD_IK	left
28.9355	1.1835	BAD_IK	left
30.152	1.5335	BAD_IK	left
31.719	0.5165	BAD_IK	left
32.2855	0.3	BAD_IK	left
32.89	0.317	BAD_IK	left
33.4235	0.5665	BAD_IK	left
34.0235	1.6835	BAD_IK	left
35.8235	0.5175	BAD_IK	left
36.8245	1.883	BAD_IK	left
39.159	0.85	BAD_IK	left
40.509	1.3335	BAD_IK	left
41.9425	0.15	BAD_IK	left
42.159	0.2	BAD_IK	left
43.259	1.3	BAD_IK	left
44.826	1.0115	BAD_IK	left
