onset	duration	trial_type	side
0.0	59.0565	HandClawGraspFlicks	right
0.0	0.2	BAD_IK	right
12.1175	0.267	BAD_IK	right
12.951	0.35	BAD_IK	right
24.585	0.117	BAD_IK	right
25.6685	0.0335	BAD_IK	right
28.3355	0.15	BAD_IK	right
29.8855	0.2	BAD_IK	right
30.7025	0.283	BAD_IK	right
31.019	0.0835	BAD_IK	right
31.6355	0.1	BAD_IK	right
33.7325	0.0335	BAD_IK	right
35.099	0.0335	BAD_IK	right
35.749	0.1	BAD_IK	right
36.3515	0.483	BAD_IK	right
37.2345	0.467	BAD_IK	right
38.118	0.0335	BAD_IK	right
38.218	0.0665	BAD_IK	right
38.368	0.05	BAD_IK	right
