onset	duration	trial_type	side
0.0	63.9975	TwoHandedFreeStyle	right
9.334	0.2	BAD_IK	right
10.017	0.017	BAD_IK	right
19.068	0.133	BAD_IK	right
19.251	0.1335	BAD_IK	right
19.4345	0.15	BAD_IK	right
31.1685	0.2835	BAD_IK	right
33.648	0.1335	BAD_IK	right
34.8315	0.3	BAD_IK	right
35.248	0.117	BAD_IK	right
36.7485	0.0165	BAD_IK	right
39.615	0.15	BAD_IK	right
40.5315	0.05	BAD_IK	right
41.4985	0.0665	BAD_IK	right
43.265	0.05	BAD_IK	right
44.2815	0.017	BAD_IK	right
55.333	0.1165	BAD_IK	right
55.5165	0.05	BAD_IK	right
56.1665	0.05	BAD_IK	right
