onset	duration	trial_type	side
0.0	44.889	DoorknobFingerGraspFistGrab	right
0.0	0.0335	BAD_IK	right
0.8665	0.1335	BAD_IK	right
1.5165	0.2335	BAD_IK	right
3.05	0.55	BAD_IK	right
3.9	1.017	BAD_IK	right
5.1005	1.15	BAD_IK	right
8.1005	0.0335	BAD_IK	right
10.2005	0.0335	BAD_IK	right
11.0175	0.1665	BAD_IK	right
12.834	0.4335	BAD_IK	right
13.334	0.2835	BAD_IK	right
13.684	1.2005	BAD_IK	right
16.718	0.383	BAD_IK	right
17.818	0.2	BAD_IK	right
25.502	0.5165	BAD_IK	right
30.0855	1.9835	BAD_IK	right
35.6885	1.9345	BAD_IK	right
41.4065	3.483	BAD_IK	right
