filename	acq_time	duration	stage	side	source_file	split	generalization
emg/sub-165_ses-04_task-emg2pose_run-01_recording-left_emg.bdf	n/a	61.1125	TwoHandedFreeStyle	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-1_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-02_recording-right_emg.bdf	n/a	61.1125	TwoHandedFreeStyle	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-1_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-03_recording-right_emg.bdf	n/a	44.165	unconstrained	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-2_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-04_recording-left_emg.bdf	n/a	44.173	IndexPinchesMiddlePinchesThumbswipes	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-2_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-05_recording-right_emg.bdf	n/a	44.2005	IndexPinchesMiddlePinchesThumbswipes	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-3_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-06_recording-left_emg.bdf	n/a	44.1965	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-3_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-07_recording-right_emg.bdf	n/a	43.869	unconstrained	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-4_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-08_recording-left_emg.bdf	n/a	43.869	FastPongFronthandBackhandThrowing	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-4_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-09_recording-right_emg.bdf	n/a	44.4965	FastPongFronthandBackhandThrowing	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-5_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-10_recording-left_emg.bdf	n/a	44.4965	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-5_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-11_recording-right_emg.bdf	n/a	44.5005	unconstrained	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-6_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-12_recording-left_emg.bdf	n/a	44.4885	PokePinchCloseFar	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-6_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-13_recording-right_emg.bdf	n/a	44.1495	PokePinchCloseFar	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-7_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-14_recording-left_emg.bdf	n/a	44.1495	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-7_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-15_recording-right_emg.bdf	n/a	44.4045	unconstrained	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-8_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-16_recording-left_emg.bdf	n/a	44.4095	GraspPunchCloseFar	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-8_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-17_recording-left_emg.bdf	n/a	45.1685	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-9_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-18_recording-right_emg.bdf	n/a	45.1645	GraspPunchCloseFar	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-9_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-19_recording-right_emg.bdf	n/a	44.2645	AllFingerPinchesThumbSwipeThumbRotate	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-10_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-20_recording-left_emg.bdf	n/a	44.2655	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-10_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-21_recording-right_emg.bdf	n/a	43.2615	CountingUpDownFingerWigglingSpreading	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-11_right.hdf5	test	stage
emg/sub-165_ses-04_task-emg2pose_run-22_recording-left_emg.bdf	n/a	43.2645	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-11_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-23_recording-right_emg.bdf	n/a	43.597	OneHandedFreeStyle	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-12_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-24_recording-left_emg.bdf	n/a	43.601	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-12_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-25_recording-right_emg.bdf	n/a	58.2445	FingerTouchPalmClapmrburns	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-13_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-26_recording-left_emg.bdf	n/a	58.2485	FingerTouchPalmClapmrburns	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-13_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-27_recording-right_emg.bdf	n/a	58.2885	HandOverHandAllFingerPinchesThumbSwipeThumbRotate	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-14_right.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-28_recording-left_emg.bdf	n/a	58.2925	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-14_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-29_recording-right_emg.bdf	n/a	58.5005	HandOverHandCountingUpDownFingerWigglingSpreading	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-15_right.hdf5	test	stage
emg/sub-165_ses-04_task-emg2pose_run-30_recording-left_emg.bdf	n/a	58.4965	unconstrained	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-15_left.hdf5	train	none
emg/sub-165_ses-04_task-emg2pose_run-31_recording-right_emg.bdf	n/a	58.805	HandOverHandCountingUpDownFingerWigglingSpreading	right	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-16_right.hdf5	test	stage
emg/sub-165_ses-04_task-emg2pose_run-32_recording-left_emg.bdf	n/a	58.801	HandOverHandCountingUpDownFingerWigglingSpreading	left	2022-09-14-1663142400-fde91-cv-emg-pose-demonstration@2-recording-16_left.hdf5	test	stage
