onset	duration	trial_type	side
0.0	238.933	TwoHandedFreeStyle	right
17.8345	0.1165	BAD_IK	right
30.969	0.1165	BAD_IK	right
31.719	0.0665	BAD_IK	right
32.7525	0.25	BAD_IK	right
35.836	0.0675	BAD_IK	right
36.437	0.0165	BAD_IK	right
60.3535	0.05	BAD_IK	right
66.0705	0.0165	BAD_IK	right
66.1205	0.033	BAD_IK	right
72.7855	0.0335	BAD_IK	right
73.0355	0.0835	BAD_IK	right
74.019	0.0165	BAD_IK	right
78.5355	0.1	BAD_IK	right
81.469	0.0165	BAD_IK	right
81.7355	0.017	BAD_IK	right
94.319	0.15	BAD_IK	right
103.1855	0.0165	BAD_IK	right
103.7855	0.0165	BAD_IK	right
108.402	0.017	BAD_IK	right
108.619	0.0165	BAD_IK	right
110.6855	0.05	BAD_IK	right
116.169	0.0165	BAD_IK	right
116.2855	0.0165	BAD_IK	right
116.352	0.017	BAD_IK	right
121.7185	0.05	BAD_IK	right
121.8685	0.05	BAD_IK	right
122.7855	0.0165	BAD_IK	right
125.1685	0.367	BAD_IK	right
125.5685	0.05	BAD_IK	right
125.652	0.1	BAD_IK	right
135.8685	0.0165	BAD_IK	right
145.785	0.0165	BAD_IK	right
148.768	0.0165	BAD_IK	right
149.818	0.0165	BAD_IK	right
173.484	0.017	BAD_IK	right
173.8175	0.0165	BAD_IK	right
175.5005	0.017	BAD_IK	right
176.2675	0.05	BAD_IK	right
176.3505	0.017	BAD_IK	right
178.6005	0.017	BAD_IK	right
184.284	0.05	BAD_IK	right
184.367	0.05	BAD_IK	right
184.967	0.017	BAD_IK	right
185.017	0.017	BAD_IK	right
186.9505	0.0165	BAD_IK	right
207.6665	0.0665	BAD_IK	right
