filename	acq_time	duration	stage	side	source_file
emg/sub-04_ses-04_task-emg2pose_run-01_recording-left_emg.bdf	n/a	61.9445	ThumbsUpDownThumbRotationsCWCCWP	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-1_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-02_recording-right_emg.bdf	n/a	61.9605	ThumbsUpDownThumbRotationsCWCCWP	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-1_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-03_recording-right_emg.bdf	n/a	62.749	CountingUpDownFaceSideAway	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-2_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-04_recording-left_emg.bdf	n/a	62.745	CountingUpDownFaceSideAway	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-2_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-05_recording-right_emg.bdf	n/a	64.329	ThumbsSwipesWholeHand	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-3_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-06_recording-left_emg.bdf	n/a	64.309	ThumbsSwipesWholeHand	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-3_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-07_recording-right_emg.bdf	n/a	62.0155	FingerWigglingSpreading	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-4_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-08_recording-left_emg.bdf	n/a	61.977	FingerWigglingSpreading	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-4_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-09_recording-right_emg.bdf	n/a	63.5285	FingerAbductionSeries	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-5_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-10_recording-left_emg.bdf	n/a	63.5005	FingerAbductionSeries	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-5_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-11_recording-right_emg.bdf	n/a	60.989	WristFlexionAbduction	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-6_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-12_recording-left_emg.bdf	n/a	60.981	WristFlexionAbduction	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-6_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-13_recording-right_emg.bdf	n/a	62.001	FingerPinchesSingleFingerPinchesMultiple	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-7_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-14_recording-left_emg.bdf	n/a	61.925	FingerPinchesSingleFingerPinchesMultiple	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-7_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-15_recording-right_emg.bdf	n/a	62.197	FingerFreeform	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-8_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-16_recording-left_emg.bdf	n/a	62.233	FingerFreeform	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-8_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-17_recording-left_emg.bdf	n/a	61.5155	IndividualFingerPointingSnap	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-9_left.hdf5
emg/sub-04_ses-04_task-emg2pose_run-18_recording-right_emg.bdf	n/a	61.4835	IndividualFingerPointingSnap	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-9_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-19_recording-right_emg.bdf	n/a	71.6635	HandClawGraspFlicks	right	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-10_right.hdf5
emg/sub-04_ses-04_task-emg2pose_run-20_recording-left_emg.bdf	n/a	71.7035	HandClawGraspFlicks	left	2022-04-13-1649836800-c9b78-cv-emg-pose-train@2-recording-10_left.hdf5
