filename	acq_time	duration	stage	side	source_file	split	generalization
emg/sub-110_ses-04_task-emg2pose_run-01_recording-left_emg.bdf		56.805	TwoHandedFreeStyle	left	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-1_left.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-02_recording-right_emg.bdf		56.805	TwoHandedFreeStyle	right	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-1_right.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-03_recording-right_emg.bdf		43.441	unconstrained	right	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-2_right.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-04_recording-left_emg.bdf		43.437	IndexPinchesMiddlePinchesThumbswipes	left	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-2_left.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-05_recording-right_emg.bdf		43.425	IndexPinchesMiddlePinchesThumbswipes	right	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-3_right.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-06_recording-left_emg.bdf		43.429	unconstrained	left	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-3_left.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-07_recording-right_emg.bdf		43.385	unconstrained	right	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-4_right.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-08_recording-left_emg.bdf		43.393	FastPongFronthandBackhandThrowing	left	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-4_left.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-09_recording-right_emg.bdf		43.609	FastPongFronthandBackhandThrowing	right	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-5_right.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-10_recording-left_emg.bdf		43.609	unconstrained	left	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-5_left.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-11_recording-right_emg.bdf		43.321	unconstrained	right	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-6_right.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-12_recording-left_emg.bdf		43.313	PokePinchCloseFar	left	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-6_left.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-13_recording-right_emg.bdf		47.805	PokePinchCloseFar	right	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-7_right.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-14_recording-left_emg.bdf		47.805	unconstrained	left	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-7_left.hdf5	train	none
emg/sub-110_ses-04_task-emg2pose_run-15_recording-right_emg.bdf		43.177	unconstrained	right	2022-09-09-1662710400-dcb38-cv-emg-pose-demonstration@2-recording-8_right.hdf5	train	none
