onset	duration	trial_type	side
0.0	245.3085	TwoHandedFreeStyle	right
0.8	0.0335	BAD_IK	right
6.467	0.067	BAD_IK	right
7.5175	0.083	BAD_IK	right
9.3175	0.25	BAD_IK	right
12.2675	0.0335	BAD_IK	right
16.318	0.1165	BAD_IK	right
18.068	0.0335	BAD_IK	right
19.1015	0.0335	BAD_IK	right
19.668	0.017	BAD_IK	right
21.4685	0.0165	BAD_IK	right
22.0185	0.033	BAD_IK	right
22.5685	0.083	BAD_IK	right
35.991	0.1	BAD_IK	right
36.258	0.1	BAD_IK	right
40.396	0.2665	BAD_IK	right
44.446	0.3335	BAD_IK	right
48.0795	0.1165	BAD_IK	right
53.4625	0.25	BAD_IK	right
57.9625	0.0165	BAD_IK	right
60.1125	0.35	BAD_IK	right
64.446	0.0665	BAD_IK	right
66.3625	0.0335	BAD_IK	right
67.746	0.0165	BAD_IK	right
68.6625	0.15	BAD_IK	right
74.0625	0.1	BAD_IK	right
101.8125	0.1165	BAD_IK	right
104.0455	0.3335	BAD_IK	right
124.6445	0.0165	BAD_IK	right
126.661	0.1335	BAD_IK	right
126.878	0.383	BAD_IK	right
127.2945	0.0665	BAD_IK	right
127.3945	0.55	BAD_IK	right
141.394	0.1	BAD_IK	right
143.844	0.1	BAD_IK	right
150.011	0.033	BAD_IK	right
150.0775	0.0335	BAD_IK	right
150.161	0.1165	BAD_IK	right
150.5275	0.05	BAD_IK	right
151.544	0.017	BAD_IK	right
151.6275	0.1335	BAD_IK	right
154.711	0.2	BAD_IK	right
156.6775	0.0165	BAD_IK	right
158.261	0.033	BAD_IK	right
159.644	0.017	BAD_IK	right
161.1775	0.0165	BAD_IK	right
161.944	0.1165	BAD_IK	right
163.2775	0.1665	BAD_IK	right
165.894	0.2335	BAD_IK	right
168.094	0.05	BAD_IK	right
169.6105	0.05	BAD_IK	right
169.744	0.2	BAD_IK	right
170.827	0.0335	BAD_IK	right
170.894	0.0165	BAD_IK	right
171.127	0.0335	BAD_IK	right
171.244	0.0165	BAD_IK	right
171.444	0.05	BAD_IK	right
181.5105	0.033	BAD_IK	right
182.227	0.0335	BAD_IK	right
182.4605	0.183	BAD_IK	right
182.7605	0.05	BAD_IK	right
184.4605	0.0165	BAD_IK	right
184.5435	0.3	BAD_IK	right
185.8605	0.1665	BAD_IK	right
187.9605	0.1665	BAD_IK	right
190.127	0.3	BAD_IK	right
191.7935	0.017	BAD_IK	right
195.277	0.05	BAD_IK	right
196.8935	0.283	BAD_IK	right
197.3265	0.05	BAD_IK	right
230.1435	0.533	BAD_IK	right
230.7265	0.167	BAD_IK	right
235.9935	0.0335	BAD_IK	right
242.4435	0.0665	BAD_IK	right
243.977	0.1	BAD_IK	right
244.36	0.05	BAD_IK	right
245.21	0.099	BAD_IK	right
