onset	duration	trial_type	side
0.0	58.7445	ThumbsSwipesWholeHand	left
0.0	0.15	BAD_IK	left
6.7505	0.0335	BAD_IK	left
6.884	0.2665	BAD_IK	left
9.184	0.0335	BAD_IK	left
10.3175	0.2	BAD_IK	left
10.7175	0.1665	BAD_IK	left
18.2015	0.15	BAD_IK	left
24.3185	0.1	BAD_IK	left
32.0525	0.1835	BAD_IK	left
39.4795	0.3	BAD_IK	left
39.9295	0.033	BAD_IK	left
40.2625	1.817	BAD_IK	left
42.2625	0.167	BAD_IK	left
43.046	0.2335	BAD_IK	left
43.496	0.5	BAD_IK	left
44.7625	0.05	BAD_IK	left
45.146	0.35	BAD_IK	left
54.764	0.0335	BAD_IK	left
55.6475	0.1165	BAD_IK	left
57.464	0.05	BAD_IK	left
